,Unnamed: 0,Review id,Product Name,Product id,Action,Agent,Environment,Feature,Review Body,Rating,Valence,Annotation Description,Annotation Label,Annotation,Annotation Date,review sentences,Sentences Actions,Action Flag
147,147,1021,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,BatteryLife,"I love this computer, but there are some obvious faults too. So, lets go over the pros and cons.Pros- very bright, up to 400 nits- 4k res, with 100% adobe RGB color accuracy, this machine is incredible for content creation- good gpu- decent cpu- very nice, tactile keyboard- accurate, glass trackpad- decent ports- lightweight, not super obvious that it was built for gaming- the usb c port has thunderbolt 3, so it can charge your device and you can hook up an e-gpuCons- if you are ONLY looking to game, this isn""t the machine for you, this is because of the 4k screen. AAA games will not run well on this in 4k. The gpu is good, but not that good. When you degrade a game to 1080p on this screen to play more powerful games, it looks more blurry than if it was on a native 1080p screen.- the keyboard is very good, but rgb is one zone if you care about that- fans can be very loud, especially if the game is demanding- the cpu isn""t ryzen. Ryzen cpu""s have beaten intel by miles this year, so its a shame this doesn""t have one- the battery isn""t so good. With the 4k screen and a dedicated gpu, this computer drains battery fast. It only lasted 5 hours doing some web browsing and youtube, even less if you are playing games. Also, no nvidia optimus, so disabling the dedicated gpu isn""t an option to save power. However, while running on battery, armoury crate gives you an option to stop all programs using a gpu, so there is a bright side.-  there is no mini usb ports. There is usb c, but for people with older phones like me, there isn""t an option to plug in to charge my phone or transfer data.- no webcam, i assume this was to minimize bezelsConclusion            Overall, this computer is amazing for content creation, viewing media, or just being amazed by all the colors and extra pixels. If you don""t play games like red dead 2 or assassin""s creed oddesy, you can play most games at 4k, and they look great. Even though my con list was longer, i just wanted to prepare people who thought this was only for gaming. 5/5",5,negative,"The person doesn""t like the battery life of this laptop to play games on it",playing games,http://linked.aub.edu.lb/actionrec/Annotation/e4dc06bee0ee56d29744f1e394fab387,2021-10-31T07:41:00,"It only lasted 5 hours doing some web browsing and youtube, even less if you are playing games.",PlayAction,Action Exist
154,154,1022,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Gamer,Universal,ScreenResolution,"i love this laptop as a gamer and a musician,  a photographer, and a content creator this pc is amazing for playing any game title on 1080p medium to high some times ultra settings on 100 fps +, battery lasts 5 to 6 hours if not used while gaming or on high use",5,positive,The gamer likes the screen resolution of this laptop to play games on it,this pc is amazing for playing any game title on 1080p medium to high some times ultra settings on 100 fps,http://linked.aub.edu.lb/actionrec/Annotation/437a4d6d685b452af6554b1fd1b4a64e,2021-10-31T07:51:43,"i love this laptop as a gamer and a musician,  a photographer, and a content creator this pc is amazing for playing any game title on 1080p medium to high some times ultra settings on 100 fps +, battery lasts 5 to 6 hours if not used while gaming or on high use",PlayAction,Action Exist
155,155,1023,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,very good can play any game 1080 very high to ultra settings,5,positive,The person likes the screen resolution of this laptop to play any game on it,very good can play any game 1080 very high to ultra settings,http://linked.aub.edu.lb/actionrec/Annotation/582bc346859528ff18890dcaacd0c956,2021-10-31T07:55:40,very good can play any game 1080 very high to ultra settings,PlayAction,Action Exist
158,158,1024,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenQuality,"I bought this laptop for specifically gaming and it""s meeting all my demands. Stormworks,ARMA 3 this thing handles it like a total champ! Really good display and just all around amazing for gaming. My only complaint is they keys are sorta flimsy and one fell out my 3rd day of having it and I""m having some problems putting it back in. Other then that the key board lights are amazing!",5,positive,The person likes the display of this laptop to play games on it,Really good display and just all around amazing for gaming.,http://linked.aub.edu.lb/actionrec/Annotation/176845c239c63e7ee6c5e050e1d78366,2021-10-31T08:05:08,Really good display and just all around amazing for gaming.,PlayAction,Action Exist
168,168,1026,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,"Great Laptop so far, Im actually typing on it now. I only play light games on here civ and hades. It does get loud when playing games though.",4,negative,"The person doesn""t like the fans noise of this laptop when playing games on it",It does get loud when playing games though.,http://linked.aub.edu.lb/actionrec/Annotation/be69fe3c5e73163ded911d8dce53f8ec,2021-10-31T08:12:52,It does get loud when playing games though.,PlayAction,Action Exist
172,172,1027,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,"I purchased this one after having a few issues with my previous laptop. The screen resolution was the big thing for me as I was spoiled by Apple""s displays by owning a Macbook Pro prior to that machine. The screen itself is something that I can honestly say that competes with apple. Every day I open my laptop to play a game I always get such joy knowing my resolution is extremely high. GPU matches and lets me play 50 FPS on Final Fantasy 14 in windowed mode which isn""t 60 but it""s acceptable. I have yet to try other games out but so far this laptop is top tier. Excellent quality, subtle looks, light, and powerful. Overall its a solid machine that I do not regret purchasing.",5,positive,The person likes the screen resolution of this laptop to play games on it,Every day I open my laptop to play a game I always get such joy knowing my resolution is extremely high.,http://linked.aub.edu.lb/actionrec/Annotation/4bc154135fbd819fb7f2a7356783c454,2021-10-31T08:21:36,Every day I open my laptop to play a game I always get such joy knowing my resolution is extremely high.,PlayAction,Action Exist
180,180,1028,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,"Why did I purchase this laptop. For the graphics card. The 4k monitor is ok, but I connect to 40"" 4k with HDMI. While gaming, the fan noise is very loud. The video card is suitable for crypto mining. I am mining to pay off this investment.",4,negative,"The person didn""t like the fans noise of this laptop for gaming on it ","While gaming, the fan noise is very loud.",http://linked.aub.edu.lb/actionrec/Annotation/0f1bbf8f8c9662f356b243e3093a16dc,2021-10-31T08:43:42,"While gaming, the fan noise is very loud.",PlayAction,Action Exist
184,184,1029,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenQuality,Had to return first as Fan sound like it was gonna explode loud grinding.  2nd one perfect quick good for gaming great display is a plus every game I played runs great just hate that 8gb ram us solder on board only downsize,4,positive,The person likes the screen quality of this laptop to play games on it,perfect quick good for gaming great display is a plus every game I played runs great,http://linked.aub.edu.lb/actionrec/Annotation/df7811b1509535fcc4bd9ed39f4fbcfe,2021-10-31T08:47:33,2nd one perfect quick good for gaming great display is a plus every game I played runs great just hate that 8gb ram us solder on board only downsize,PlayAction,Action Exist
186,186,1031,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ProcessingPower,The laptop is working quite well as the games I am playing from steam are running smoothly.  It does make some noise when it running higher end games so I have to put my headphones on to keep the noise out.,4,positive,The person likes the processing power of this laptop to play games on it,The laptop is working quite well as the games I am playing from steam are running smoothly.,http://linked.aub.edu.lb/actionrec/Annotation/59ae6dc68d35d5330414315e304e5c40,2021-10-31T10:05:30,The laptop is working quite well as the games I am playing from steam are running smoothly.,PlayAction,Action Exist
191,191,1032,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Son,Universal,Fans,I enjoy this laptop. Lots of memory and easy to set up and use. My son uses it for his gaming. Only complaint is it gets super hot while gaming. Simple fix of an extra fan. Very light and easy to type on.,4,negative,"The person doesn""t like the fans of this laptop when gaming on it.",Only complaint is it gets super hot while gaming.,http://linked.aub.edu.lb/actionrec/Annotation/2c9d8d761f7168561aaef75d5d1dc5c0,2021-10-31T10:08:46,Only complaint is it gets super hot while gaming.,PlayAction,Action Exist
